time	p1,0.278	p2,0.278	p1,0.64	p2,0.64
432	0.673051	1.80E+00	2.17E+00	0.54883
433	0.708507	1.90E+00	2.38E+00	0.601874
434	0.73723	1.97E+00	2.57E+00	0.649191
435	0.758255	2.01E+00	2.73E+00	0.689183
436	0.771163	2.02E+00	2.86E+00	0.721229
437	0.775996	1.98E+00	2.95E+00	0.745652
438	0.773094	1.89E+00	3.02E+00	0.763422
439	0.762925	1.75E+00	3.06E+00	0.775793
440	0.74602	1.57E+00	3.08E+00	0.784001
441	0.723091	1.35E+00	3.07E+00	0.789097
442	0.695459	1.11E+00	3.05E+00	0.791876
443	0.665652	0.88535	3.01E+00	0.79287
444	0.637703	0.686516	2.95E+00	0.792356
445	0.616505	0.53255	2.85E+00	0.790341
446	0.606401	0.424224	2.72E+00	0.786507
447	0.610152	0.353706	2.55E+00	0.780106
448	0.628959	0.311171	2.32E+00	0.769802
449	0.663074	0.288486	2.04E+00	0.753564
450	0.712352	0.279989	1.70E+00	0.728879
451	0.776512	0.282018	1.34E+00	0.693829
452	0.85516	0.292242	0.997405	0.649358
453	0.947653	0.309126	0.707611	0.601409
454	1.05E+00	0.331554	0.49835	0.559683
455	1.17E+00	0.35858	0.364201	0.532807
456	1.29E+00	0.389261	0.284834	0.525061
457	1.42E+00	0.422558	0.240782	0.53717
458	1.55E+00	0.457291	0.218856	0.568484
459	1.67E+00	0.492158	0.211293	0.61834
460	1.78E+00	0.525812	0.213742	0.686496
461	1.86E+00	0.556975	0.223762	0.773082
462	1.91E+00	0.584571	0.239929	0.878365
463	1.93E+00	0.607817	0.261312	1.00E+00
464	1.90E+00	0.626256	0.287158	1.14E+00
465	1.83E+00	0.639702	0.316688	1.30E+00
466	1.70E+00	0.648139	0.348961	1.48E+00
467	1.53E+00	0.651646	0.382785	1.66E+00
468	1.32E+00	0.650463	0.416713	1.85E+00
469	1.10E+00	0.645327	0.4491	2.04E+00
470	0.874586	0.638034	0.478269	2.21E+00
471	0.6831	0.631823	0.502726	2.37E+00
472	0.5344	0.630976	0.521382	2.50E+00
473	0.429086	0.639672	0.533721	2.60E+00
474	0.3598	0.660999	0.539833	2.66E+00
475	0.317329	0.696766	0.540364	2.67E+00
476	0.293964	0.747861	0.536402	2.64E+00
477	0.284235	0.814634	0.529371	2.54E+00
478	0.284508	0.897088	0.520969	2.38E+00
479	0.292381	0.994866	0.513138	2.12E+00
480	0.306179	1.11E+00	0.508044	1.76E+00
481	0.324616	1.23E+00	0.508066	1.31E+00
482	0.346561	1.37E+00	0.515857	0.82715
483	0.370902	1.51E+00	0.534439	0.44475
484	0.396476	1.65E+00	0.566751	0.228198
485	0.422073	1.79E+00	0.614651	0.13192
486	0.446492	1.92E+00	0.678915	0.0917817
487	0.468636	2.02E+00	0.759929	0.0752641
488	0.48763	2.10E+00	0.857987	0.0696077
489	0.502898	2.14E+00	0.973188	0.069794
490	0.514193	2.13E+00	1.11E+00	0.0736764
491	0.521539	2.08E+00	1.25E+00	0.080223
492	0.525121	1.97E+00	1.41E+00	0.088848
493	0.525149	1.80E+00	1.58E+00	0.0991297
494	0.521788	1.58E+00	1.76E+00	0.110681
495	0.515292	1.32E+00	1.93E+00	0.123091
496	0.506463	1.05E+00	2.08E+00	0.135906
497	0.497336	0.806752	2.22E+00	0.148649
498	0.491449	0.609113	2.31E+00	0.160846
499	0.493019	0.467786	2.37E+00	0.172069
500	0.505596	0.375721	2.37E+00	0.181951
501	0.531423	0.320223	2.30E+00	0.190171
502	0.571716	0.289995	2.18E+00	0.196415
503	0.627189	0.277147	1.98E+00	0.200328
504	0.698384	0.276711	1.73E+00	0.20155
505	0.785747	0.285643	1.44E+00	0.199906
506	0.889523	0.30203	1.15E+00	0.195812
507	1.01E+00	0.324553	0.89153	0.190652
508	1.14E+00	0.352134	0.690591	0.186649
509	1.29E+00	0.383711	0.551278	0.186094
510	1.45E+00	0.418085	0.463986	0.190647
511	1.62E+00	0.453854	0.415414	0.201244
512	1.78E+00	0.489411	0.394621	0.218415
513	1.94E+00	0.52304	0.39431	0.242598
514	2.08E+00	0.553079	0.410111	0.274299
515	2.20E+00	0.578125	0.439581	0.314133
516	2.28E+00	0.597212	0.481431	0.362804
517	2.33E+00	0.609897	0.534976	0.421031
518	2.34E+00	0.616229	0.599749	0.489444
519	2.29E+00	0.61661	0.67518	0.568454
520	2.19E+00	0.611608	0.760319	0.658073
521	2.03E+00	0.601755	0.853566	0.757724
522	1.82E+00	0.58743	0.952454	0.866053
523	1.55E+00	0.568901	1.05E+00	0.980797
524	1.25E+00	0.546718	1.15E+00	1.10E+00
525	0.955824	0.522538	1.24E+00	1.22E+00
526	0.70403	0.499903	1.32E+00	1.33E+00
527	0.51656	0.483811	1.38E+00	1.43E+00
528	0.392388	0.47891	1.42E+00	1.52E+00
529	0.316971	0.48804	1.43E+00	1.60E+00
530	0.274715	0.512355	1.42E+00	1.66E+00
531	0.254293	0.552192	1.37E+00	1.70E+00
532	0.248683	0.607735	1.30E+00	1.73E+00
533	0.253788	0.679253	1.21E+00	1.75E+00
534	0.267238	0.767073	1.10E+00	1.75E+00
535	0.287598	0.8714	0.964638	1.73E+00
536	0.313887	0.992056	0.826545	1.71E+00
537	0.34527	1.13E+00	0.689912	1.67E+00
538	0.380856	1.28E+00	0.563524	1.62E+00
539	0.419554	1.44E+00	0.453998	1.58E+00
540	0.460012	1.60E+00	0.364516	1.54E+00
541	0.500618	1.77E+00	0.294879	1.51E+00
542	0.539597	1.92E+00	0.242608	1.49E+00
543	0.575194	2.06E+00	0.204308	1.50E+00
544	0.605899	2.18E+00	0.176648	1.52E+00
545	0.630645	2.26E+00	0.15683	1.56E+00
546	0.648917	2.30E+00	0.142687	1.62E+00
547	0.660711	2.30E+00	0.132603	1.70E+00
548	0.666384	2.24E+00	0.125384	1.79E+00
549	0.666428	2.13E+00	0.120148	1.89E+00
550	0.661242	1.96E+00	0.116228	2.00E+00
551	0.650993	1.73E+00	0.113116	2.11E+00
552	0.635695	1.45E+00	0.110421	2.22E+00
553	0.615771	1.16E+00	0.107854	2.33E+00
